Date;Type;Merchant/Description;Debit/Credit;Balance;
06/02/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£2.00;+£36.04;
06/02/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£21.00;+£38.04;
06/02/2023;CARD PAYMENT;**** ******* ** **********************   ** **********;-£11.50;+£59.04;
05/02/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£5.53;+£70.54;
04/02/2023;CARD PAYMENT;**** ******* **** ***** ***** ** **********;-£1.99;+£76.07;
04/02/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£0.95;+£78.06;
04/02/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£1.49;+£79.01;
04/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£60.00;+£80.50;
04/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£27.00;+£20.50;
04/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ******** *;+£25.00;-£6.50;
03/02/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£51.46;-£31.50;
03/02/2023;CARD PAYMENT;******** **** **** ***** ***** ** **********;-£7.58;+£19.96;
03/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;+£27.54;
03/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£0.50;+£31.54;
02/02/2023;CARD PAYMENT;*** **** **** ***** ***** ** **********;-£5.00;+£32.04;
02/02/2023;CARD PAYMENT;*** **** **** ***** ***** ** **********;-£2.50;+£37.04;
02/02/2023;CARD PAYMENT;**** ******* ** ************   ** **********;-£22.09;+£39.54;
02/02/2023;CARD PAYMENT;**** ****** **** **** ***** ***** ** **********;-£41.81;+£61.63;
02/02/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£9.00;+£103.44;
02/02/2023;CARD PAYMENT;**** **** *** **** **** ***** ***** ** **********;-£3.60;+£112.44;
02/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£80.00;+£116.04;
02/02/2023;CARD PAYMENT;**** ******* ** ******************   ** **********;-£12.99;+£36.04;
01/02/2023;CARD PAYMENT;****** *** **** ***** ***** ** **********;-£9.00;+£49.03;
01/02/2023;CARD PAYMENT;***** *** **** ***** ***** ** **********;-£12.88;+£58.03;
01/02/2023;PAYMENTS;**** ******* *** ****** ******* ** *** ******* ********* ******** * ******* ** **;-£280.00;+£70.91;
01/02/2023;DD;DIRECT DEBIT PAYMENT TO UNIHOMES REF *XVQBDR, MANDATE NO ****;-£88.82;+£350.91;
01/02/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£16.65;+£439.73;
01/02/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£1.65;+£456.38;
31/01/2023;CARD PAYMENT;********** ****** **** ***** ***** ** **********;-£7.48;+£458.03;
31/01/2023;CARD PAYMENT;**** ******* ** ******************   ** **********;-£29.84;+£465.51;
31/01/2023;CREDIT IN;**** **** ****** *** ******** ******** **********;+£369.23;+£495.35;
30/01/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£640.00;+£126.12;
30/01/2023;CARD PAYMENT;**** ******* ** ************   ** **********;-£12.46;-£513.88;
30/01/2023;PAYMENTS;******** ***** *** ****** ******* ** **** ****** *** ********* **** ******* * ******* ** *;-£550.00;-£501.42;
30/01/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£20.00;+£48.58;
30/01/2023;PAYMENTS;**** ******* *** ****** ******* ** **** * * ******* ********* ******** * ******* ** **;-£23.00;+£28.58;
29/01/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£6.87;+£51.58;
29/01/2023;CARD PAYMENT;**** ******* ** ************   ** **********;-£29.49;+£58.45;
29/01/2023;CARD PAYMENT;********** ****** **** ***** ***** ** **********;-£3.35;+£87.94;
28/01/2023;CARD PAYMENT;****** *** **** ***** ***** ** **********;-£8.55;+£91.29;
28/01/2023;FAST PAYMENT;****** ******** ******* ************ **** * *******;+£30.00;+£99.84;
28/01/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£0.80;+£69.84;
27/01/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£3.98;+£70.64;
27/01/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£70.00;+£74.62;
27/01/2023;CARD PAYMENT;**** ***** **** ***** ***** ** **********;-£1.00;+£4.62;
27/01/2023;CARD PAYMENT;**** ******* ** ****** ***************   ** **********;-£4.49;+£5.62;
26/01/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£3.49;+£10.11;
25/01/2023;CARD PAYMENT;********** ****** **** ***** ***** ** **********;-£1.50;+£13.60;
25/01/2023;CARD PAYMENT;********** ***** **** ***** ***** ** **********;-£5.90;+£15.10;
25/01/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£9.31;+£21.00;
25/01/2023;CARD PAYMENT;** ***** ******** **** ***** ***** ** **********;-£6.49;+£30.31;
25/01/2023;CARD PAYMENT;********** ***** **** ***** ***** ** **********;-£10.00;+£36.80;
25/01/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£30.00;+£46.80;
25/01/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£16.65;+£16.80;
25/01/2023;CARD PAYMENT;**** ******* ** ************   ** **********;-£2.99;+£33.45;
24/01/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£13.70;+£36.44;
24/01/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£2.75;+£50.14;
24/01/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£1.99;+£52.89;
24/01/2023;CARD PAYMENT;**** *** **** ***** **** ***** ***** ** **********;-£4.37;+£54.88;
24/01/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£4.00;+£59.25;
23/01/2023;CARD PAYMENT;***** ***** **** ***** ***** ** **********;-£3.50;+£63.25;
23/01/2023;CARD PAYMENT;************ ***** * **** ***** ***** ** **********;-£10.10;+£66.75;
23/01/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£0.85;+£76.85;
22/01/2023;CARD PAYMENT;****** *** **** ***** ***** ** **********;-£1.20;+£77.70;
22/01/2023;CARD PAYMENT;******* **** ***** ***** ** **********;-£2.00;+£78.90;
22/01/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£4.00;+£80.90;
21/01/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£9.00;+£84.90;
21/01/2023;CARD PAYMENT;**** ******* ** **** **** *** ****   ** **********;-£3.60;+£93.90;
21/01/2023;CARD PAYMENT;**** **** **** ***** ***** ** **********;-£1.99;+£97.50;
21/01/2023;CARD PAYMENT;**** ****** **** **** ***** ***** ** **********;-£21.38;+£99.49;
21/01/2023;PAYMENTS;**** ******* *** ****** ******* ** *** ******* ********* ******** * ******* ** **;-£2600.00;+£120.87;
20/01/2023;CARD PAYMENT;**** ******* ** ******* ******* * **   ** **********;-£13.97;+£2720.87;
20/01/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£4.00;+£2734.84;
20/01/2023;CARD PAYMENT;**** ******* ** ****** **** *** ***   ** **********;-£139.00;+£2738.84;
20/01/2023;FAST PAYMENT;****** ******** ******* ******** **** ******** *;+£14.00;+£2877.84;
19/01/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£140.00;+£2863.84;
19/01/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£40.00;+£2723.84;
18/01/2023;CARD PAYMENT;**** ****** **** **** ***** ***** ** **********;-£30.25;+£2683.84;
18/01/2023;CARD PAYMENT;**** ****** **** **** ***** ***** ** **********;-£1.00;+£2714.09;
18/01/2023;CARD PAYMENT;**** ******* ** **************   ** **********;-£12.00;+£2715.09;
18/01/2023;CARD PAYMENT;******** ***** ****** **** ***** ***** ** **********;-£20.30;+£2727.09;
18/01/2023;CARD PAYMENT;************* *** **** **** ***** ***** ** **********;-£5.75;+£2747.39;
18/01/2023;CARD PAYMENT;**** ******* ** ****** **** *** ******   ** **********;-£2.00;+£2753.14;
18/01/2023;CARD PAYMENT;************* **** ***** ***** ** **********;-£9.75;+£2755.14;
18/01/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£10.35;+£2764.89;
17/01/2023;CARD PAYMENT;**** ******* ** ******** *** **** ***   ** **********;-£2.00;+£2775.24;
17/01/2023;CARD PAYMENT;*** ******** **** ***** ***** ** **********;-£1.95;+£2777.24;
16/01/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£3.74;+£2779.19;
16/01/2023;PAYMENTS;******** ***** *** ****** ******* ** ******** ******* ********* ******* * ******* ** ****;-£3.00;+£2782.93;
